date,campaign_id,country,publisher,os,size,banner name,LP(landing page),Views,Clicks,Spend,Downloads,Installs,Sales
3/7/2014,20762,Barbedos,ALL,Win8,Big,simple,LP,529,52,13,27,14,0
3/7/2014,23061,Iran,6374,Vista,Big,simple,LP2GB,8,0,0,,,
3/7/2014,24676,Iran,5135,Win7,Small,AvailBlue,LP-GEN1,53631,602,369.98,320,142,7
3/7/2014,21269,Ivory Coast,3761,Win7,Small,Cleanblubtn,LP2GB,5558,46,47.24,26,14,0
3/7/2014,19953,Iran,5583,Win8,Small,BlueFlshOrangeBtn,LP,193,32,8.96,6,1,0
3/7/2014,23071,Ivory Coast,6374,Win8,Big,simple,LP2GB,18,0,0,,,
3/7/2014,19965,Iran,3761,Vista,Small,BlueFlshOrangeBtn,LP,4567,99,30.83,43,16,0
3/7/2014,23427,Iran,5013,Win7,Small,CleanOrngbtnCer,LP2GB,2926,283,99.05,161,65,1
3/7/2014,20247,Iran,5135,Win8,Small,Cleanblubtn,LP,20256,238,141.64,139,54,3
3/7/2014,21980,Iran,All,Vista,Small,CleanblubtnCer,LP,4,2,0.4,1,0,0
3/7/2014,20754,Barbedos,ALL,XP,Big,simple,LP,204,27,6.75,14,6,0
3/7/2014,20094,Barbedos,4470,Vista,Small,BlueFlshOrangeBtn,LP,4354,67,14.07,23,11,0
3/7/2014,22088,Iran,3789,Vista,Big,CleanOrngbtnCer,LP2OB,13,0,0.04,,,
3/7/2014,20618,Iran,6198,Win7,Big,simple,LP,10,0,0,,,
3/7/2014,20103,Barbedos,5061,Vista,Big,BlueFlshOrangeBtn,LP,4347,31,7.13,15,6,0
3/7/2014,22865,Iran,3761,Win8,Small,BlueFlshBlueBtn,LP2OB,13838,266,93.41,110,51,2
3/7/2014,19963,Iran,5876,Win7,Small,BlueFlshOrangeBtn,LP,73,1,0.3,,,
3/7/2014,24188,Uzbekistan,5543,Win7,Small,CleanblubtnCer,LP,8,0,0,,,
3/7/2014,20005,Iran,5135,Win7,Small,BlueFlshOrangeBtn,LP,42078,666,290.65,228,87,5
3/7/2014,20590,Iran,5226,Win7,Small,simple,LP,162,5,1.8,2,1,0
3/7/2014,19346,Iran,5157,Win7,Small,simple1red,LP,201,11,2.97,7,1,0
3/7/2014,19544,Iran,4470,Vista,Small,BlueFlshOrangeBtn,LP,2236,33,10.09,10,2,0
3/7/2014,21594,Iran,3761,Win8,Small,BlueFlshOrangeBtn,LP,13298,230,89.65,80,40,2
3/7/2014,20173,Iran,6083,Win8,Small,BlueFlshOrangeBtn,LP,9,1,0.28,1,1,0
3/7/2014,21595,Iran,3761,Win8,Small,BlueFlshOrangeBtn,LP2OB,13522,230,92.83,99,42,1
3/7/2014,21982,Iran,All,Win8,Small,CleanblubtnCer,LP,67,3,0.6,1,0,0
3/7/2014,23067,Barbedos,6374,Win7,Big,simple,LP2GB,17,0,0,,,
3/7/2014,19354,Barbedos,5330,Vista,Small,simple1red,LP,89,1,0.25,,,
3/7/2014,21927,Iran,6374,Vista,Big,simple,LP2GB,7,0,0,,,
3/7/2014,23115,Iran,5059,Win8,Big,Clean2orngBtn,LP2OB,44573,501,140.28,233,113,2
3/7/2014,20764,Barbedos,ALL,Win7,Big,simple,LP,1162,107,21.4,50,22,0
3/7/2014,19505,Ivory Coast,3761,Vista,Small,BlueFlshOrangeBtn,LP,487,8,4.14,1,1,0
3/7/2014,24044,Iran,5135,Win8,Small,GrayGen,LP,16629,249,114.74,150,74,3
3/7/2014,23001,Iran,5862,Win7,Small,CleanOrngbtnCer,LP,7,0,0,,,
3/7/2014,21347,Iran,4470,Vista,Small,Cleanblubtn,LP2OB,5937,86,23.6,48,18,2
3/7/2014,24679,Ivory Coast,3761,Win7,Small,AvailBlack,LP-GEN1,4312,66,36.65,31,16,1
3/7/2014,23311,Ivory Coast,4470,Vista,Small,BlueFlshOrangeBtn,LP,354,6,2.04,1,0,0
3/7/2014,20944,Iran,5135,Vista,Small,BlueFlshOrangeBtn,LP2OB,7329,130,51.76,62,23,5
3/7/2014,23462,Iran,5135,XP,Small,Cleanblubtn,LP2OB,9757,126,67.32,78,20,3
3/7/2014,23473,Iran,3761,Win8,Small,CleanGrnbtnCer,LP2OB,11646,132,78.41,83,48,3
3/7/2014,20248,Iran,5135,Vista,Small,Cleanblubtn,LP,5574,72,38.46,48,12,0
3/7/2014,21597,Iran,3761,Vista,Small,BlueFlshOrangeBtn,LP,4768,88,32.18,40,17,1
3/7/2014,24931,Iran,5135,Win7,Small,noam,LP-GEN1,34529,357,238.19,203,88,7
3/7/2014,24039,Iran,3761,Win8,Small,GrayGen,LP,12843,193,86.69,102,51,4
3/7/2014,20644,Iran,4390,Win8,Big,Cleanblubtn,LP,35150,218,105.42,119,50,2
3/7/2014,20161,Iran,6083,Win7,Small,BlueFlshOrangeBtn,LP,101,4,1.12,1,0,0
3/7/2014,21609,Iran,3761,Win8,Small,Cleanblubtn,LP2GB,6258,70,42.24,43,22,1
3/7/2014,20110,Barbedos,5013,Win7,Small,BlueFlshOrangeBtn,LP,59,1,0.23,1,1,0
3/7/2014,20765,Ivory Coast,ALL,Win7,Big,simple,LP,434,24,6,16,7,0
3/7/2014,19952,Iran,5862,Win8,Small,BlueFlshOrangeBtn,LP,16,2,0.34,0,0,0
3/7/2014,19967,Iran,5043,Vista,Small,BlueFlshOrangeBtn,LP,198,9,3.15,6,1,0
3/7/2014,21985,Iran,All,Win7,Big,CleanblubtnCer,LP,18941,149,29.8,33,17,0
3/7/2014,20559,Uzbekistan,5156,Win8,Big,Cleanblubtn,LP,231,7,1.54,2,1,0
3/7/2014,20596,Iran,5061,Win7,Big,BlueFlshOrangeBtn,LP,7,0,0,,,
3/7/2014,20092,Barbedos,4470,Win8,Small,BlueFlshOrangeBtn,LP,3441,34,5.44,9,2,0
3/7/2014,19517,Iran,5135,XP,Small,BlueFlshOrangeBtn,LP,10659,258,73.48,97,23,3
3/7/2014,22987,Ivory Coast,3761,Win7,Small,BlueFlshOrangeBtn,LP,7749,134,65.87,43,18,2
3/7/2014,22985,Ivory Coast,3761,Win8,Small,BlueFlshOrangeBtn,LP,1685,32,16.48,13,7,2
3/7/2014,19950,Iran,5043,Win8,Small,BlueFlshOrangeBtn,LP,173,11,3.85,3,1,0
3/7/2014,23109,Iran,5059,Vista,Big,CleanOrngbtnCer,LP2OB,11927,119,34.51,76,22,1
3/7/2014,19901,Barbedos,5330,Win8,Small,BlueFlshOrangeBtn,LP,429,1,0.25,0,0,0
3/7/2014,22957,Iran,4286,Win8,Small,CleanOrngbtnCer,LP,358,41,11.07,20,10,0
3/7/2014,23313,Ivory Coast,4470,Win8,Small,BlueFlshOrangeBtn,LP,1435,9,3.6,5,3,1
3/7/2014,19961,Iran,5862,Win7,Small,BlueFlshOrangeBtn,LP,56,2,0.34,1,0,0
3/7/2014,22039,Iran,5135,Win8,Small,Cleanblubtn,LP2OB,14465,156,100.23,97,49,3
3/7/2014,23463,Iran,5135,XP,Small,BlueFlshOrangeBtn,LP,9123,213,62.89,79,23,3
3/7/2014,23108,Iran,5059,Win7,Big,CleanOrngbtnCer,LP2OB,115298,852,340.8,431,132,4
3/7/2014,19365,Barbedos,5061,XP,Big,simple,LP,3605,49,10.29,26,5,0
3/7/2014,22992,Ivory Coast,3761,Vista,Small,BlueFlshOrangeBtn,LP,450,8,3.83,4,4,0
3/7/2014,19902,Barbedos,3761,Win8,Small,BlueFlshOrangeBtn,LP,4964,95,34.75,34,19,1
3/7/2014,24116,Iran,4502,XP,Big,CleanblubtnCer,LP,536,7,3.5,3,1,0
3/7/2014,20752,Barbedos,ALL,Vista,Big,simple,LP,257,30,7.5,13,3,0
3/7/2014,24210,Uzbekistan,6673,Win7,Small,CleanblubtnCer,LP,33,0,0,,,
3/7/2014,20952,Iran,5061,Vista,Big,Clean2GrnBtn,LP2GB,16,0,0,,,
3/7/2014,20093,Barbedos,4470,Win7,Small,BlueFlshOrangeBtn,LP,14821,133,21.28,37,6,0
3/7/2014,24917,Iran,4619,Win7,Small,BlueFlshOrangeBtn,LP,3123,300,60,79,39,0
3/7/2014,19359,Iran,4814,XP,Big,simple,LP,7,0,0,,,
3/7/2014,19348,Iran,5157,Vista,Small,simple1red,LP,27,1,0.27,0,0,0
3/7/2014,24933,Iran,6684,Win8,Small,GrayGen,LP-GEN1,2701,24,11.88,15,5,1
3/7/2014,21263,Ivory Coast,3761,Win8,Small,Cleanblubtn,LP2GB,1175,14,9.99,8,5,0
3/7/2014,21926,Iran,6374,Win7,Big,simple,LP2GB,20,0,0,,,
3/7/2014,22956,Iran,4286,Vista,Small,CleanOrngbtnCer,LP,154,19,5.32,12,2,0
3/7/2014,22576,Ivory Coast,3761,Vista,Small,CleanOrngbtnCer,LP2OB,474,6,4.03,4,2,0
3/7/2014,19696,Iran,5061,Win7,Big,simple1red,LP,26,0,0,,,
3/7/2014,20951,Iran,5061,Vista,Big,Cleanblubtn,LP2GB,10,0,0,,,
3/7/2014,21194,Iran,5061,Win8,Big,Cleanblubtn,LP2OB,14,0,0,,,
3/7/2014,22298,Iran,5372,XP,Small,BlueFlshOrangeBtn,LP,139,28,9.8,16,6,0
3/7/2014,22046,Iran,3761,Vista,Small,BlueFlshBlueBtn,LP2OB,8715,162,58.83,72,20,2
3/7/2014,24629,Iran,5059,Win8,Big,GrayGen,LP-GEN1,45749,521,156.3,245,108,1
3/7/2014,23089,Iran,4286,Win7,Small,BlueFlshOrangeBtn,LP2GB,869,62,24.8,25,5,0
3/7/2014,19954,Iran,5876,Win8,Small,BlueFlshOrangeBtn,LP,15,2,0.6,,,
3/7/2014,23107,Iran,5059,Win8,Big,CleanOrngbtnCer,LP2OB,39882,387,119.97,216,88,1
3/7/2014,19698,Iran,5061,Vista,Big,simple1red,LP,8,0,0,,,
3/7/2014,21346,Iran,4470,Vista,Small,BlueFlshOrangeBtn,LP2OB,8439,157,46.16,63,23,1
3/7/2014,19947,Iran,5614,Win8,Small,BlueFlshOrangeBtn,LP,17,0,0,0,0,0
3/7/2014,24678,Ivory Coast,3761,Win7,Small,AvailBlue,LP-GEN1,4219,68,35.86,29,14,0
3/7/2014,24628,Iran,5059,Win7,Big,GrayGen,LP-GEN1,113212,1042,312.6,476,158,6
3/7/2014,21343,Iran,4470,Win7,Small,BlueFlshOrangeBtn,LP2OB,67458,956,266.78,335,109,3
3/7/2014,21272,Ivory Coast,3761,Vista,Small,Cleanblubtn,LP2GB,246,1,2.09,1,1,0
3/7/2014,21598,Iran,3761,Vista,Small,BlueFlshOrangeBtn,LP2OB,4169,81,28.09,32,12,2
3/7/2014,19966,Iran,5226,Vista,Small,BlueFlshOrangeBtn,LP,13,1,0.36,0,0,0
3/7/2014,20850,Iran,5061,Win8,Big,Cleanblubtn,LP,10,0,0,,,
3/7/2014,24043,Iran,5135,Win7,Small,GrayGen,LP,64639,779,445.92,401,183,10
3/7/2014,19941,Iran,5226,XP,Small,BlueFlshOrangeBtn,LP,12,2,0.72,2,0,0
3/7/2014,22566,Iran,5061,Win7,Big,CleanOrngbtnCer,LP2GB,10,0,0,,,
3/7/2014,19502,Iran,5226,Vista,Small,BlueFlshOrangeBtn,LP,21,1,0.3,1,1,0
3/7/2014,20172,Iran,6082,Win8,Small,BlueFlshOrangeBtn,LP,7,0,0,,,
3/7/2014,22047,Iran,3761,XP,Small,BlueFlshBlueBtn,LP2OB,11166,268,75.37,86,20,1
3/7/2014,20753,Ivory Coast,ALL,Vista,Big,simple,LP,98,18,4.5,10,1,0
3/7/2014,22417,Iran,6405,Win7,Big,CleanOrngbtnCer,LP2GB,1102,62,19.84,,,
3/7/2014,19364,Barbedos,5061,Win7,Big,simple,LP,36,0,0,,,
3/7/2014,23480,Iran,5372,Win8,Small,BlueFlshOrangeBtn,LP,316,33,13.2,21,13,0
3/7/2014,24630,Iran,5059,Vista,Big,GrayGen,LP-GEN1,14241,176,52.8,89,22,1
3/7/2014,20591,Iran,5226,Win7,Small,Cleanblubtn,LP,69,3,1.08,2,0,0
3/7/2014,20162,Iran,6084,Win7,Small,BlueFlshOrangeBtn,LP,38,3,0.84,1,0,0
3/7/2014,20102,Barbedos,5061,Win7,Big,BlueFlshOrangeBtn,LP,31,0,0,,,
3/7/2014,22056,Iran,5059,Win7,Big,CleanOrngbtnCer,LP2OB,117044,917,348.46,454,164,5
3/7/2014,21981,Iran,All,Win7,Small,CleanblubtnCer,LP,94,5,1,4,1,0
3/7/2014,19905,Iran,5226,Win8,Small,BlueFlshOrangeBtn,LP,21,1,0.3,1,0,0
3/7/2014,19973,Iran,5807,Win8,Big,simple,LP,109,0,0,,,
3/7/2014,21345,Iran,4470,Win7,Small,Clean2GrnBtn,LP2GB,6326,84,21.84,34,12,0
3/7/2014,22428,Ivory Coast,6405,Win7,Big,CleanOrngbtnCer,LP2GB,69,0,0,,,
3/7/2014,20748,Uzbekistan,ALL,Win7,Big,simple,LP,791,60,15.6,37,15,1
3/7/2014,19518,Iran,5226,XP,Small,BlueFlshOrangeBtn,LP,26,2,0.6,0,0,0
3/7/2014,19945,Iran,5583,XP,Small,BlueFlshOrangeBtn,LP,2,1,0.28,1,0,0
3/7/2014,24918,Iran,5003,Win7,Small,BlueFlshOrangeBtn,LP,6273,149,32.78,,,
3/7/2014,21344,Iran,4470,Win7,Small,Clean2orngBtn,LP2OB,6388,66,19.8,32,11,0
3/7/2014,20251,Iran,3761,Win8,Small,Cleanblubtn,LP,14297,157,97.86,94,43,2
3/7/2014,19344,Iran,5586,XP,Small,simple1red,LP,2,2,0.64,1,0,0
3/7/2014,21984,Iran,All,Vista,Big,CleanblubtnCer,LP,1366,26,5.2,5,2,0
3/7/2014,22049,Iran,3761,Win8,Small,BlueFlshBlueBtn,LP2OB,9671,209,65.1,81,36,1
3/7/2014,19955,Iran,5614,Win7,Small,BlueFlshOrangeBtn,LP,156,13,2.86,4,0,0
3/7/2014,22872,Iran,5135,Vista,Small,BlueFlshOrangeBtn,LP,8519,169,58.78,65,26,2
3/7/2014,19343,Iran,5586,Win7,Small,simple1red,LP,218,19,6.65,9,1,0
3/7/2014,21920,Iran,6374,Vista,Big,Clean2GrnBtn,LP2GB,8,0,0,,,
3/7/2014,24042,Iran,5135,Vista,Small,GrayGen,LP,7987,162,55.11,91,39,5
3/7/2014,20745,Uzbekistan,ALL,Vista,Big,simple,LP,110,12,3,9,6,0
3/7/2014,19512,Barbedos,5226,Win7,Small,BlueFlshOrangeBtn,LP,224,8,2,5,2,0
3/7/2014,23472,Iran,3761,Win8,Small,Cleanblubtn,LP2OB,8477,100,57.7,60,27,0
3/7/2014,19904,Iran,5135,Win8,Small,BlueFlshOrangeBtn,LP,27219,563,191.09,248,100,8
3/7/2014,20249,Iran,3761,XP,Small,Cleanblubtn,LP,6588,100,44.42,54,16,0
3/7/2014,20175,Iran,6085,Win8,Small,BlueFlshOrangeBtn,LP,23,0,0,,,
3/7/2014,23090,Iran,4286,Win8,Small,BlueFlshOrangeBtn,LP2GB,275,31,8.62,14,9,0
3/7/2014,19352,Barbedos,5330,Win7,Small,simple1red,LP,1906,13,3.25,8,1,0
3/7/2014,21606,Iran,3761,Win7,Small,Cleanblubtn,LP2GB,57931,614,393.01,330,133,5
3/7/2014,19353,Barbedos,5330,XP,Small,simple1red,LP,101,2,0.5,0,0,0
3/7/2014,22416,Iran,6405,Vista,Big,CleanOrngbtnCer,LP2GB,8,0,0,,,
3/7/2014,22415,Iran,6405,XP,Big,CleanOrngbtnCer,LP2GB,21,0,0,,,
3/7/2014,21271,Ivory Coast,3761,Vista,Small,BlueFlshOrangeBtn,LP2OB,585,18,4.97,7,2,0
3/7/2014,23068,Barbedos,6374,Vista,Big,simple,LP2GB,15,0,0,,,
3/7/2014,20953,Iran,5061,Vista,Big,Clean2orngBtn,LP2OB,9,0,0,,,
3/7/2014,24180,Iran,5543,Win7,Small,CleanblubtnCer,LP,44,1,0.48,1,1,0
3/7/2014,20558,Uzbekistan,5156,Win7,Big,Cleanblubtn,LP,354,3,1.46,0,0,0
3/7/2014,17159,Iran,5330,Win7,Small,simple1red,LP,290,13,3.12,6,2,2
3/7/2014,22871,Iran,5135,Win8,Small,Cleanblubtn,LP,21677,237,149.57,146,72,2
3/7/2014,19970,Iran,5583,Vista,Small,BlueFlshOrangeBtn,LP,13,0,0,,,
3/7/2014,20160,Iran,6082,Win7,Small,BlueFlshOrangeBtn,LP,61,2,0.56,0,0,0
3/7/2014,21865,Uzbekistan,All,XP,Big,Clean2GrnBtn,LP2GB,187,15,3.75,5,1,1
3/7/2014,19366,Barbedos,5061,Vista,Big,simple,LP,56,2,0.42,2,0,0
3/7/2014,19503,Barbedos,3761,Vista,Small,BlueFlshOrangeBtn,LP,2866,68,20.43,24,12,2
3/7/2014,21608,Iran,3761,Win8,Small,Cleanblubtn,LP2OB,12901,141,96.32,88,43,3
3/7/2014,24117,Iran,4502,Win8,Big,CleanblubtnCer,LP,967,12,6,8,3,0
3/7/2014,20163,Iran,6085,Win7,Small,BlueFlshOrangeBtn,LP,59,1,0.28,0,0,0
3/7/2014,23064,Uzbekistan,6374,XP,Big,simple,LP2GB,23,0,0,,,
3/7/2014,21262,Ivory Coast,3761,Win8,Small,BlueFlshOrangeBtn,LP2OB,1750,33,15.88,14,7,0
3/7/2014,20109,Barbedos,5013,Win8,Small,BlueFlshOrangeBtn,LP,21,2,0.46,0,0,0
3/7/2014,19968,Iran,5013,Vista,Small,BlueFlshOrangeBtn,LP,178,13,6.5,10,2,0
3/7/2014,21867,Uzbekistan,All,Win7,Big,Clean2GrnBtn,LP2GB,350,18,3.6,10,2,0
3/7/2014,19514,Ivory Coast,5226,Win7,Small,BlueFlshOrangeBtn,LP,144,6,1.5,4,2,0
3/7/2014,19509,Iran,5135,Win7,Small,BlueFlshOrangeBtn,LP,62489,1000,434.77,389,132,7
3/7/2014,22565,Iran,5061,Win7,Big,CleanOrngbtnCer,LP2OB,8,0,0,,,
3/7/2014,22299,Iran,5372,Vista,Small,BlueFlshOrangeBtn,LP,155,23,11.96,15,6,1
3/7/2014,19975,Iran,5807,Vista,Big,simple,LP,7,0,0,,,
3/7/2014,22057,Iran,5059,Win8,Big,CleanOrngbtnCer,LP2OB,40714,381,118.11,217,101,3
3/7/2014,24195,Iran,6673,Win7,Small,CleanblubtnCer,LP,8,0,0,,,
3/7/2014,21004,Barbedos,3761,Vista,Small,BlueFlshOrangeBtn,LP2GB,3887,111,27.69,48,22,1
3/7/2014,22383,Iran,6406,Win7,Big,CleanOrngbtnCer,LP2GB,7,0,0,,,
3/7/2014,22958,Iran,4286,Win7,Small,CleanOrngbtnCer,LP,2066,113,45.2,52,15,0
3/7/2014,19951,Iran,5013,Win8,Small,BlueFlshOrangeBtn,LP,16,0,0,,,
3/7/2014,22990,Ivory Coast,3761,Vista,Small,BlueFlshOrangeBtn,LP,409,11,3.48,4,0,0
3/7/2014,22425,Ivory Coast,6404,Win7,Big,CleanOrngbtnCer,LP2GB,102,0,0,,,
3/7/2014,23351,Iran,5330,Win7,Small,CleanOrngbtnCer,LP2GB,31,0,0,,,
3/7/2014,19948,Iran,3761,Win8,Small,BlueFlshOrangeBtn,LP,13596,257,94.59,120,42,1
3/7/2014,22574,Ivory Coast,3761,Win8,Small,CleanOrngbtnCer,LP2OB,1217,5,10.34,1,0,0
3/7/2014,20274,Iran,3760,Vista,Big,Cleanblubtn,LP,16,0,0,,,
3/7/2014,24115,Iran,4502,Vista,Big,CleanblubtnCer,LP,823,8,4,4,0,0
3/7/2014,22427,Ivory Coast,6405,Win8,Big,CleanOrngbtnCer,LP2GB,19,0,0,,,
3/7/2014,20746,Uzbekistan,ALL,XP,Big,simple,LP,239,35,8.75,21,5,0
3/7/2014,23091,Iran,4286,Vista,Small,BlueFlshOrangeBtn,LP2GB,122,15,4.05,4,0,0
3/7/2014,19964,Iran,5614,Vista,Small,BlueFlshOrangeBtn,LP,9,2,0.76,2,0,0
3/7/2014,19545,Iran,4470,XP,Small,BlueFlshOrangeBtn,LP,2644,47,9.79,22,4,1
3/7/2014,19940,Iran,3761,XP,Small,BlueFlshOrangeBtn,LP,6270,149,43.19,62,9,1
3/7/2014,22300,Iran,5372,Win8,Small,BlueFlshOrangeBtn,LP,443,50,22.5,22,12,0
3/7/2014,24048,Iran,5135,Win8,Small,CleanOrngbtnCer,LP,23732,235,163.75,136,59,4
3/7/2014,19501,Iran,5135,Vista,Small,BlueFlshOrangeBtn,LP,7593,143,52.39,69,30,1
3/7/2014,17158,Iran,,Vista,Small,simple1red,,1006,122,31.72,46,13,1
3/7/2014,22045,Iran,3761,Vista,Small,CleanGrnbtnCer,LP2OB,6667,86,45,55,20,2
3/7/2014,17184,Uzbekistan,,Vista,Small,simple1red,,1535,27,11.08,17,8,0
3/7/2014,19345,Iran,5586,Vista,Small,simple1red,LP,1,1,0.45,,,
3/7/2014,20943,Iran,5135,Vista,Small,BlueFlshOrangeBtn,LP2OB,7295,146,51.52,65,29,1
3/7/2014,22040,Iran,5135,Vista,Small,Cleanblubtn,LP2OB,6978,93,48.15,53,18,0
3/7/2014,21987,Iran,All,XP,Big,CleanblubtnCer,LP,1456,6,1.2,3,1,0
3/7/2014,20861,Ivory Coast,3761,Win8,Small,Cleanblubtn,LP,683,6,7.76,5,2,0
3/7/2014,20617,Iran,6198,XP,Big,simple,LP,22,0,0,,,
3/7/2014,19959,Iran,5043,Win7,Small,BlueFlshOrangeBtn,LP,761,52,20.8,9,3,0
3/7/2014,20557,Uzbekistan,5156,Vista,Big,Cleanblubtn,LP,16,0,0.02,,,
3/7/2014,20108,Barbedos,5013,XP,Small,BlueFlshOrangeBtn,LP,3,1,0.23,,,
3/7/2014,24040,Iran,3761,Win7,Small,GrayGen,LP,54137,676,365.36,355,153,3
3/7/2014,19504,Barbedos,5226,Vista,Small,BlueFlshOrangeBtn,LP,7,1,0.25,1,0,0
3/7/2014,22426,Ivory Coast,6404,Win8,Big,CleanOrngbtnCer,LP2GB,22,0,0,,,
3/7/2014,24041,Iran,3761,Vista,Small,GrayGen,LP,7246,128,48.91,68,30,5
3/7/2014,17179,Uzbekistan,,XP,Small,simple1red,LP,35,8,2.88,4,2,0
3/7/2014,22384,Iran,6406,Vista,Big,CleanOrngbtnCer,LP2GB,9,0,0,,,
3/7/2014,19949,Iran,5226,Win8,Small,BlueFlshOrangeBtn,LP,9,1,0.36,,,
3/7/2014,22054,Iran,5059,XP,Big,CleanOrngbtnCer,LP2OB,26721,253,63.25,150,32,3
3/7/2014,19943,Iran,5013,XP,Small,BlueFlshOrangeBtn,LP,716,74,25.9,45,10,0
3/7/2014,21866,Uzbekistan,All,Win8,Big,Clean2GrnBtn,LP2GB,165,5,1.25,5,2,0
3/7/2014,21273,Ivory Coast,3761,Vista,Small,simple,LP2GB,77,1,0.65,0,0,0
3/7/2014,22577,Ivory Coast,3761,Vista,Small,CleanOrngbtnCer,LP2GB,338,5,2.87,3,1,0
3/7/2014,19347,Iran,5157,XP,Small,simple1red,LP,8,4,1.08,1,0,0
3/7/2014,19360,Iran,4814,Vista,Big,simple,LP,54,1,0.5,1,0,0
3/7/2014,24114,Iran,5013,Win8,Small,CleanOrngbtnCer,LP,941,87,30.45,38,23,0
3/7/2014,24118,Iran,4502,Win7,Big,CleanblubtnCer,LP,2858,8,4,5,4,0
3/7/2014,20945,Iran,5135,Vista,Small,BlueFlshOrangeBtn,LP2OB,6291,140,43.41,60,25,1
3/7/2014,19520,Barbedos,5226,XP,Small,BlueFlshOrangeBtn,LP,31,5,2,2,0,0
3/7/2014,23312,Ivory Coast,4470,Win7,Small,BlueFlshOrangeBtn,LP,4873,33,14.85,6,2,1
3/7/2014,20747,Uzbekistan,ALL,Win8,Big,simple,LP,292,27,6.75,13,7,0
3/7/2014,22044,Iran,3761,XP,Small,CleanGrnbtnCer,LP2OB,6374,74,43.02,41,12,1
3/7/2014,20605,Iran,3760,Vista,Big,simple,LP,14,0,0,,,
3/7/2014,21922,Iran,6374,Win8,Big,Clean2GrnBtn,LP2GB,0,1,0.25,,,
3/7/2014,24663,Iran,5135,Win7,Small,GrayGen,LP-GEN1,65363,803,450.67,402,187,8
3/7/2014,19903,Iran,5586,Win8,Small,BlueFlshOrangeBtn,LP,18,0,0,,,
3/7/2014,22055,Iran,5059,Vista,Big,CleanOrngbtnCer,LP2OB,15138,178,72.98,113,48,1
3/7/2014,20252,Iran,3761,Vista,Small,Cleanblubtn,LP,5318,58,38.26,31,9,1
3/7/2014,19946,Iran,5876,XP,Small,BlueFlshOrangeBtn,LP,201,10,3,8,3,0
3/7/2014,21718,Iran,5043,XP,Small,BlueFlshOrangeBtn,LP,92,8,0.96,4,1,1
3/7/2014,20865,Ivory Coast,4470,Win8,Small,simple,LP,2,1,0.36,,,
3/7/2014,21983,Iran,All,XP,Small,CleanblubtnCer,LP,12,0,0,,,
3/8/2014,19940,Iran,3761,XP,Small,BlueFlshOrangeBtn,LP,5415,140,36.49,48,13,1
